imei,ip,subnet,screen_time,trade_freq,trade_amount,app_switches,role
863794026542351,192.168.1.164,192.168.1,0.4124342878339109,1.4653217867814792,12214.131103349862,13.418675944079194,leader_group_1
078161849593103,192.168.1.29,192.168.1,0.7559127607648048,1.7179587609692568,10407.690057352798,8.967813008330197,leader_group_1
752553419283276,192.168.1.71,192.168.1,1.4822658247929092,2.710635442030294,14065.385667286888,10.701893375587492,leader_group_1
030564139537672,192.168.1.71,192.168.1,1.4874280207639143,2.279999519708186,11898.648206422524,15.26921376484812,leader_group_1
696532871012269,192.168.1.71,192.168.1,0.46755638343060757,2.489977964183213,11772.841027671033,16.20520717478387,leader_group_1
801845146270482,192.168.1.29,192.168.1,0.7617207740094001,2.191776856722256,11276.34921449274,8.771211799727197,leader_group_1
252880957015430,192.168.1.29,192.168.1,1.3446222838041202,1.5968895828972658,12472.646464062036,14.134553171572584,leader_group_1
182278248963834,192.168.1.190,192.168.1,1.3536115190448486,2.893898890595988,8599.57416447515,12.289856949749208,leader_group_1
133150983930103,192.168.1.58,192.168.1,1.4941792279930737,2.2997561152789068,11066.700587401529,12.76363761553386,leader_group_1
738299737631165,192.168.1.29,192.168.1,1.3865040156073536,2.719270800507493,8496.001449220574,8.570069515534929,leader_group_1
106513338726247,192.168.1.58,192.168.1,0.7933227312596856,2.7276734967392064,8379.198310625194,14.801832323986874,leader_group_1
108013267736026,192.168.1.190,192.168.1,1.349383144884696,1.1507697767485787,13656.155713121918,17.83950338702559,leader_group_1
687234309805009,192.168.1.164,192.168.1,1.482370612535671,1.530406116344304,13488.494213639986,11.82512551008715,leader_group_1
121913619399091,192.168.1.36,192.168.1,0.9034204595034163,2.705439784096571,9102.029095576383,19.411683549116756,leader_group_1
534624751079911,192.168.1.58,192.168.1,5.972119493417567,12.826134619220447,321.458892183709,67.82297086810898,meat_machine_group_1
354278498084124,192.168.1.190,192.168.1,5.517654082146296,10.662282851832337,344.30618447516053,62.06373942180058,meat_machine_group_1
353487401640052,192.168.1.29,192.168.1,6.669138121017127,13.712083419904992,208.8135368424933,68.45268814373682,meat_machine_group_1
112805982620450,192.168.1.71,192.168.1,4.484745928821658,12.209177559304253,593.9672127319935,76.82720594324239,meat_machine_group_1
692322602563421,192.168.1.63,192.168.1,4.630229615019262,11.247648696114622,171.95553517024996,83.40348725614328,meat_machine_group_1
754330365414586,192.168.1.58,192.168.1,6.616500348718269,14.292966256688908,255.7036022819651,84.49759816790787,meat_machine_group_1
401965569816934,192.168.1.63,192.168.1,6.817711420974147,10.576708759257137,779.2804277155595,65.35703448517391,meat_machine_group_1
356159514846564,192.168.1.164,192.168.1,6.126355851502511,10.008456391093148,747.9026158493579,76.15355991278375,meat_machine_group_1
299468044369957,192.168.1.7,192.168.1,4.575520278970442,13.324647171063857,365.4016939857792,82.4440368047667,meat_machine_group_1
214895134332003,192.168.1.36,192.168.1,5.326479397914422,11.068507004945502,431.2303301365284,87.03542477484763,meat_machine_group_1
936763201632870,192.168.1.36,192.168.1,5.83382191918204,13.842446695000984,418.7913178660624,86.58410727152945,meat_machine_group_1
889579868727743,192.168.1.190,192.168.1,6.752410043366321,10.606792995946922,193.33737388992023,73.9392971249471,meat_machine_group_1
143455812236231,192.168.1.71,192.168.1,6.297441052891497,12.60649906413991,538.7239058872469,68.23792340752615,meat_machine_group_1
669096705466889,192.168.1.58,192.168.1,5.22279810899976,12.713055702519576,391.0419638722092,66.2050316854323,meat_machine_group_1
627298069901627,192.168.1.190,192.168.1,5.464688432650751,11.364676558816283,439.94939565895027,71.66571609738384,meat_machine_group_1
646417080531003,192.168.1.7,192.168.1,4.150853900465883,11.895519320940698,248.16219894803706,69.80537414643925,meat_machine_group_1
193745299124190,192.168.1.190,192.168.1,6.517686538853795,13.10667828293079,266.98145932223406,74.20683182838384,meat_machine_group_1
319314919058651,192.168.1.71,192.168.1,5.727390185237242,14.540130755237222,362.7148715977229,88.2441179562393,meat_machine_group_1
572628498776945,192.168.1.63,192.168.1,4.03795645049756,12.100293704209138,443.1411934932858,73.00570203977546,meat_machine_group_1
799650752735454,192.168.1.190,192.168.1,6.492193056671811,10.433314490278372,717.1418288019404,67.31590317572868,meat_machine_group_1
678377701436349,192.168.1.71,192.168.1,5.6673730837587515,12.58313625857467,233.73949646896918,67.2406815111804,meat_machine_group_1
557444313518233,192.168.1.63,192.168.1,5.419781466278574,12.654609655728839,397.85266889365033,82.37806310140829,meat_machine_group_1
134352408240084,192.168.1.36,192.168.1,4.829498880906067,12.947934529803955,632.1455267611578,77.90372221536904,meat_machine_group_1
477752047116719,192.168.1.7,192.168.1,5.913608965317783,13.763960878956269,171.81135275143248,60.36796210126524,meat_machine_group_1
318699938677496,192.168.1.164,192.168.1,4.455181020852869,14.055710381375238,764.3879496506219,62.555427251886904,meat_machine_group_1
334123281206797,192.168.1.71,192.168.1,5.705888411872699,10.301151521862705,772.0761442040094,62.97700724324365,meat_machine_group_1
134936183242102,192.168.1.71,192.168.1,4.097919566142773,11.440524447968446,297.9028611786014,85.78820194021567,meat_machine_group_1
746488771906594,192.168.1.71,192.168.1,5.785132111958214,14.121201506600046,744.8347702773467,73.17460346021213,meat_machine_group_1
049027874296717,192.168.1.164,192.168.1,4.273980659892955,14.809555510964184,685.1710297343269,77.25597327659791,meat_machine_group_1
674680715451680,192.168.1.63,192.168.1,5.225044280290046,11.605291279782858,173.2199192077902,64.82474557976506,meat_machine_group_1
703482477109324,192.168.1.36,192.168.1,5.239742712397964,10.937912706972636,353.2455514061727,82.6932946216672,meat_machine_group_1
712748467737826,192.168.1.164,192.168.1,5.6567542271611995,10.466046006407613,794.5799975766538,87.38789635452504,meat_machine_group_1
465840449972787,192.168.1.190,192.168.1,6.765604449794686,12.54120445796447,715.5283786025333,85.92080803285765,meat_machine_group_1
339636057662702,192.168.1.63,192.168.1,4.997319867132248,13.814363388099896,364.04703794972016,87.98556767145783,meat_machine_group_1
702621745961586,192.168.1.63,192.168.1,6.6091009400866465,14.370951870271542,408.214346839474,75.77853260422684,meat_machine_group_1
913431611724005,192.168.1.63,192.168.1,5.880397537023963,14.437193414546616,441.56323977312525,76.2304803809298,meat_machine_group_1
922219693792374,192.168.1.164,192.168.1,4.880103327895626,11.874205448876573,201.89885698957892,75.93498954446281,meat_machine_group_1
821759464743671,192.168.1.36,192.168.1,4.765980124477462,10.046987157274355,663.2431538826024,87.03628270796649,meat_machine_group_1
064090974395339,192.168.1.190,192.168.1,5.144092892972887,11.79479578788623,307.11067315104924,80.97837238652201,meat_machine_group_1
104709521456232,192.168.1.71,192.168.1,6.033293375870079,13.604641883353544,561.4270782217276,85.15011350887549,meat_machine_group_1
745171236851604,192.168.1.63,192.168.1,5.592557121108355,14.567434872408484,681.3308336971782,67.70910253689787,meat_machine_group_1
513709859317461,192.168.1.29,192.168.1,5.364358083201624,13.364141909368769,570.6385581457092,77.53680274956498,meat_machine_group_1
382675869261796,192.168.1.7,192.168.1,4.136040433040146,10.186060641123525,797.1491623285207,63.48361442175329,meat_machine_group_1
515850643171390,192.168.1.71,192.168.1,4.098148860565141,11.852649793672176,410.3681602424912,88.5166550955428,meat_machine_group_1
183933529042284,192.168.1.164,192.168.1,6.36038377136385,11.217844485820118,188.14671971563,76.93733927723889,meat_machine_group_1
395024026811775,192.168.1.7,192.168.1,4.329779043668307,14.332239442534005,192.26226069332824,70.74726837649598,meat_machine_group_1
847007661771159,192.168.1.29,192.168.1,5.356016259726257,11.107748782091425,530.5747853991056,81.81728991491205,meat_machine_group_1
569847896118367,192.168.1.7,192.168.1,4.1970466999603415,11.375079997789765,543.1537070107108,76.45069302145082,meat_machine_group_1
565452711116152,192.168.1.190,192.168.1,5.24144071353074,14.137096123900223,379.1111289798673,81.88837522903513,meat_machine_group_1
560494519832731,192.168.1.164,192.168.1,5.75939524821843,12.807932069960362,330.75218699134354,63.66693856063678,meat_machine_group_1
689980940244550,192.168.1.63,192.168.1,6.536120255804035,11.83780525307675,633.8239423557948,77.22300012994388,meat_machine_group_1
018366752545991,192.168.1.7,192.168.1,6.609588119609315,12.831605473806881,380.5490407996609,64.25623962453805,meat_machine_group_1
767976438156149,192.168.1.164,192.168.1,4.466739710213465,13.772179395624928,134.83374470307,62.447445825957395,meat_machine_group_1
003432445107622,192.168.1.36,192.168.1,5.580802321444434,11.542096959256282,254.3629048517672,89.53336974963358,meat_machine_group_1
516060715969664,192.168.1.58,192.168.1,5.597747043602271,11.1505535803833,491.1064973722989,80.04144515235726,meat_machine_group_1
751613696816453,192.168.1.29,192.168.1,5.2150969211948635,14.83099845516563,220.3112264046483,88.42842927980243,meat_machine_group_1
355231243292127,192.168.1.63,192.168.1,6.337353605809794,10.381896887365105,543.2572668777304,75.91814462317944,meat_machine_group_1
995527177449058,192.168.1.36,192.168.1,6.263337475740958,13.799385748038741,414.2336798965441,87.72462775156978,meat_machine_group_1
119986798079359,192.168.1.29,192.168.1,4.931223551818933,12.259569318503411,139.82303558376665,84.95089894989364,meat_machine_group_1
518203778892554,192.168.1.36,192.168.1,5.504101905618483,14.788611794332926,415.3661763105639,84.32900433967862,meat_machine_group_1
515186449251925,192.168.1.58,192.168.1,5.2263081917419605,11.691835734207098,518.5201036680926,83.67680794690995,meat_machine_group_1
148652816850542,192.168.1.71,192.168.1,6.903089523078234,13.492399814059404,374.37058903475224,77.85123684454724,meat_machine_group_1
214188805929622,192.168.1.190,192.168.1,5.025197035394644,13.830781038339097,234.4036635650704,89.99929863309086,meat_machine_group_1
706537947383473,192.168.1.7,192.168.1,6.494035170067376,13.855489068654942,666.3306037475107,64.96617497232177,meat_machine_group_1
688623924075818,192.168.1.63,192.168.1,6.034920475195277,12.852096966819458,408.41818245631436,83.08315655926728,meat_machine_group_1
261375060685361,192.168.1.29,192.168.1,4.855189042177985,13.815584151458454,290.95390971394966,87.15918626934723,meat_machine_group_1
522047277901043,192.168.1.63,192.168.1,4.673616275821348,11.593424377248656,169.3581870751336,81.44112817569689,meat_machine_group_1
434103697117980,192.168.1.7,192.168.1,5.646412736331506,13.636173926624659,469.440054120707,63.335605809727156,meat_machine_group_1
962185188888067,192.168.1.190,192.168.1,6.155632983377058,11.45635993887629,101.0950351533793,70.58448118878101,meat_machine_group_1
153195205852772,192.168.1.164,192.168.1,5.90701237440589,14.9051971127578,277.55518274844894,60.48726693326843,meat_machine_group_1
030548687403450,192.168.1.7,192.168.1,4.189301611096674,13.880951998517109,420.37570421314723,68.80327713525094,meat_machine_group_1
765277584161692,192.168.1.63,192.168.1,4.81964981834162,13.996712057591198,405.8659681874555,72.00065323933386,meat_machine_group_1
962757059640165,192.168.1.71,192.168.1,4.963634284643782,10.400344555374977,562.6434550206957,69.19487568272257,meat_machine_group_1
021355690927557,192.168.1.7,192.168.1,6.858368188838823,10.713897341812748,525.3010323245987,83.43935909230399,meat_machine_group_1
310278681447394,192.168.1.29,192.168.1,5.721765335001687,12.647299407681448,378.623832166715,79.48682210118095,meat_machine_group_1
715518844225831,192.168.1.36,192.168.1,4.600535022973361,10.678642088652635,151.83642742358057,65.17969091952124,meat_machine_group_1
957829114678669,192.168.1.190,192.168.1,6.376197020833422,11.183680921434352,445.8153562128456,70.82689573333147,meat_machine_group_1
852892268018242,192.168.1.29,192.168.1,4.375980346777582,11.585138352302408,151.91551383571434,73.97499598863176,meat_machine_group_1
414384249818299,192.168.1.7,192.168.1,4.967982253463667,13.546660662646229,342.2161576393112,88.22712164794603,meat_machine_group_1
900109439690784,192.168.1.7,192.168.1,4.513601869167377,13.122395937168328,731.4006255835088,70.12858759817406,meat_machine_group_1
102767735925556,192.168.1.71,192.168.1,5.448834454526258,14.023440771078665,579.4935888369737,68.92301614289227,meat_machine_group_1
147321046963259,192.168.1.7,192.168.1,6.281994984385524,12.574900670411111,174.3287535263681,67.25213582809401,meat_machine_group_1
470168733950047,192.168.1.63,192.168.1,4.569502303670079,10.796712059463022,797.1785877667918,74.00445353212052,meat_machine_group_1
456506098358416,192.168.1.36,192.168.1,4.857245144323053,10.040887029736204,175.2479590598452,64.01804831976943,meat_machine_group_1
121655852398680,192.168.1.36,192.168.1,6.293212344121718,11.39860338811991,792.3634904345058,80.41195920356583,meat_machine_group_1
298259526949588,192.168.1.164,192.168.1,4.116741898738661,13.567959231624034,662.7760986359484,75.57998130999249,meat_machine_group_1
169409749930972,192.168.1.36,192.168.1,6.126219419306313,11.498952823687068,671.024183270677,71.05073429597309,meat_machine_group_1
130756263689702,192.168.1.58,192.168.1,4.443327124900995,13.403634475253394,122.09935933946956,88.44615512352904,meat_machine_group_1
278585497334843,192.168.1.190,192.168.1,5.682660318725918,14.99061434202741,434.8596883403808,71.30474328557088,meat_machine_group_1
758441986652404,192.168.1.71,192.168.1,6.31352280726293,13.524504684182919,583.1679380945249,74.67009238534587,meat_machine_group_1
384842199330833,192.168.1.29,192.168.1,5.03909054228685,12.211880559324177,279.5107828314375,74.37237789049449,meat_machine_group_1
208267734540193,192.168.1.164,192.168.1,4.300593877135992,11.651468117436695,430.6827349244165,80.43575959744291,meat_machine_group_1
067240049915478,192.168.1.164,192.168.1,6.7396891770095575,10.875323877404815,717.5714812153832,65.27366122616587,meat_machine_group_1
152742054932966,192.168.1.36,192.168.1,6.667779891309749,10.670999730045338,452.9488714606653,68.18511244493978,meat_machine_group_1
530463745499045,192.168.1.63,192.168.1,4.260213309545068,13.34627926704977,229.34684073313798,64.21835626902896,meat_machine_group_1
841459332727956,192.168.1.190,192.168.1,4.186372995401609,10.591124239019862,314.76443940253387,72.16249838905192,meat_machine_group_1
