ip,trade_freq,trade_amount,group_size
172.16.10.140,9.570718088547666,1464.5963284787995,50
10.0.0.152,14.37284914739679,703.7997944950047,47
10.0.0.9,14.232207536561027,1582.9137130051467,46
10.0.0.109,14.410514110590078,1270.39092821992,44
172.16.10.189,10.213653804160007,605.840149217711,43
172.16.10.27,9.849417357736176,1023.4304653804737,43
192.168.1.71,11.65080011853308,1328.9203388868848,43
172.16.10.229,9.434429562574051,2463.8389347248803,39
192.168.1.29,11.276789051177559,1518.6675218633288,38
192.168.1.63,12.782239358770182,433.70768624836217,38
10.0.0.23,14.093176300848125,1412.370883932877,38
172.16.10.174,9.53124542699894,1357.78873527678,35
192.168.1.7,13.080685920948268,449.8290412332758,34
192.168.1.190,11.735732988206278,1039.3391000665752,34
172.16.10.190,9.696447760830441,1116.3214780895726,34
192.168.1.36,12.071865540958575,744.6053958055235,32
192.168.1.164,11.924492398745802,1277.8108092385135,31
192.168.1.58,11.807837113411335,1001.0274562752303,30
24.203.7.37,2.539401398286299,5897.745884100251,2
24.187.149.116,1.316508078435692,3376.4069040470054,2
24.145.11.203,4.250445175474955,5271.922980987142,2
24.144.113.21,6.967119869839468,9109.161994571472,2
24.1.166.5,8.864412324354154,2797.5659785809776,2
23.185.123.223,5.198052115356449,7030.910510825231,2
221.85.155.92,6.087064993738336,2684.511153050626,2
23.245.226.191,2.044560139094693,8100.268087946105,2
222.125.34.219,5.549940083373395,2751.982426258597,2
26.114.178.230,7.50314466059821,7296.812926743748,2
222.93.203.210,9.986175539743854,1989.035932794204,2
23.160.10.194,9.63125564989091,168.29289607392138,2
25.138.107.185,1.4534913750583192,6416.480207409123,2
31.73.124.248,2.3818352052190344,4837.165066040069,2
26.159.169.161,7.673412461908212,7961.278773911084,2
32.236.188.186,5.569744746054902,1908.7267685248185,2
37.182.54.35,2.4383815226813343,8644.555649844078,2
35.3.20.11,3.4149920831530105,6409.692129002922,2
35.209.134.219,8.21389540685257,807.5899114115804,2
35.207.88.5,3.0281921385231345,4848.437450804013,2
35.161.34.100,1.251118244084242,2845.259533121828,2
32.97.111.115,6.84482329099844,3002.4451800110005,2
32.77.105.114,3.1169678473886373,3308.320986160277,2
32.200.129.214,8.956947358548922,9156.587526697156,2
28.137.65.201,7.558719687341753,4261.475597610196,2
32.120.211.39,5.360984430942871,9907.14201554896,2
31.83.162.58,6.738160355721608,4847.51060211463,2
220.116.90.217,8.950586218123783,8826.040614226482,2
31.35.180.216,3.816501644400913,8085.164469200763,2
30.11.65.207,2.808129759184561,1812.2168162108476,2
3.125.6.184,8.98149027274328,1216.4351852147545,2
28.171.212.29,8.457169183890285,5262.503961451713,2
220.223.254.184,8.451927549569582,1338.4007929649715,2
1.107.56.213,4.426880438000408,3446.502018742396,2
219.140.242.82,8.603946874533678,6314.075375960803,2
208.184.207.139,2.0086659946524463,9399.58884927515,2
20.150.181.211,5.032526939250394,9343.072931949098,2
20.7.82.164,5.169965632226535,8215.316943157322,2
200.178.12.24,5.040703025707972,6554.8592920242,2
201.14.217.34,7.931190237481384,2617.9809980046234,2
201.187.196.164,2.857907719134185,3337.020391040531,2
201.24.166.118,6.530669614673778,7697.680833166302,2
204.119.4.35,3.636796067000108,5757.488224025739,2
204.232.205.151,7.345244102747234,9904.125750952206,2
204.57.144.188,5.355259043811614,8805.74653301464,2
205.165.11.217,3.3754914732613868,1423.6009685921606,2
205.51.62.11,1.079467120420458,1399.5086292058354,2
205.94.67.113,6.912025796354459,331.76779471936385,2
206.212.69.18,2.3676418243949597,9586.439993305716,2
206.217.79.227,7.060699196078472,656.1626229095951,2
208.238.224.90,7.086536288483594,7234.342582257696,2
217.210.48.76,5.2992938837689,9069.96612809133,2
208.70.163.236,5.063697104242744,2174.93246739534,2
209.194.21.191,8.903695249691006,6568.105464644604,2
209.198.61.220,6.4687226327833125,5658.205644626514,2
